id,経度,緯度,所在地コード,用途,連番,年次,前年所在地コード,前年用途,前年連番,市区町村名,住居表示,行政,地積,利用の現況,利用状況表示,建物構造,施設,形状区分,間口（比率）,奥行（比率）,階層（地上）,階層（地下）,前面道路区分,前面道路の方位区分,前面道路の幅員,前面道路の駅前区分,前面道路の舗装状況,側道区分,側道方位区分,交通施設との近接区分,周辺の土地の利用の現況,駅名,駅距離,用途区分,防火区分,都市計画区分,森林区分,公園区分,建蔽率,容積率,共通地点区分,選定年次ビット,Ｓ５８価格,Ｓ５９価格,Ｓ６０価格,Ｓ６１価格,Ｓ６２価格,Ｓ６３価格,Ｈ１価格,Ｈ２価格,Ｈ３価格,Ｈ４価格,Ｈ５価格,Ｈ６価格,Ｈ７価格,Ｈ８価格,Ｈ９価格,Ｈ１０価格,Ｈ１１価格,Ｈ１２価格,Ｈ１３価格,Ｈ１４価格,Ｈ１５価格,Ｈ１６価格,Ｈ１７価格,Ｈ１８価格,Ｈ１９価格,Ｈ２０価格,Ｈ２１価格,Ｈ２２価格,Ｈ２３価格,Ｈ２４価格,Ｈ２５価格,Ｈ２６価格,Ｈ２７価格,Ｈ２８価格,Ｈ２９価格,Ｈ３０価格,Ｈ３１価格,属性移動Ｓ５９,属性移動Ｓ６０,属性移動Ｓ６１,属性移動Ｓ６２,属性移動Ｓ６３,属性移動Ｈ１,属性移動Ｈ２,属性移動Ｈ３,属性移動Ｈ４,属性移動Ｈ５,属性移動Ｈ６,属性移動Ｈ７,属性移動Ｈ８,属性移動Ｈ９,属性移動Ｈ１０,属性移動Ｈ１１,属性移動Ｈ１２,属性移動Ｈ１３,属性移動Ｈ１４,属性移動Ｈ１５,属性移動Ｈ１６,属性移動Ｈ１７,属性移動Ｈ１８,属性移動Ｈ１９,属性移動Ｈ２０,属性移動Ｈ２１,属性移動Ｈ２２,属性移動Ｈ２３,属性移動Ｈ２４,属性移動Ｈ２５,属性移動Ｈ２６,属性移動Ｈ２７,属性移動Ｈ２８,属性移動Ｈ２９,属性移動Ｈ３０,属性移動Ｈ３１
11,501231.917,128627.81599999999,13228,0,14,2019,13228,0,14,あきる野,東京都　あきる野市舘谷字追原１４２番１６外,13228,109,10000000000000000,_,W2,101,_,12,10,2,0,市道,南西,45,_,_,_,_,_,一般住宅等の中に空地が見られる住宅地域,武蔵五日市,450,1低専,_,市街化,_,_,40,80,False,1111111111111111111111111111111111111,110000,112000,113000,114000,117000,182000,182000,182000,184000,184000,179000,175000,174000,173000,172000,168000,154000,141000,134000,125000,111000,96000,91000,88500,90000,98300,95800,90000,89000,88000,87000,86500,86500,86500,86500,86500,86500,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,11000000000000,10000000000000,10000000000000,21000000000000,10000001000011,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
12,501258.614,128619.036,13228,0,16,2019,13228,0,16,あきる野,東京都　あきる野市高尾字橋本１８５番４,13228,121,10000000000000000,_,W2,101,_,10,12,2,0,市道,南東,45,_,_,_,_,_,一般住宅のほかに空地等が見られる住宅地域,武蔵五日市,1200,1低専,_,市街化,_,_,40,80,False,0000000111111111111111111111111111111,0,0,0,0,0,0,0,178000,179000,179000,173000,168000,168000,167000,165000,161000,148000,123000,116000,107000,92000,79000,74500,72900,74100,79700,77300,72500,71000,69900,69200,68900,68700,68700,68700,68500,68500,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,21000000000000,10000001000011,10000000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10100000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
13,501261.466,128831.386,13205,0,6,2019,13205,0,6,青梅,東京都　青梅市日向和田１丁目２１６番３,13205,198,10000000000000000,_,W2,101,台形,10,12,2,0,市道,北西,43,_,_,側道,南西,_,一般住宅が多く周辺に山林が見られる住宅地域,宮ノ平,430,1低専,_,市街化,_,_,40,80,False,0000000000000000000000000000001111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000,72700,70900,69400,67900,65900,64500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
14,501277.698,128681.55,13305,0,5,2019,13305,0,5,日の出,東京都　西多摩郡日の出町大字大久野字萱窪８７３番２５,13305,132,10000000000000000,_,W2,101,_,10,10,2,0,町道,西,60,_,_,_,_,_,小規模一般住宅が建ち並ぶ住宅地域,武蔵増戸,2600,1低専,_,市街化,_,_,40,80,False,0000000000111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,165000,161000,159000,155000,154000,151000,138000,126000,111000,105000,90000,82000,77500,75300,75300,75900,72400,67000,65500,64500,63800,63500,63500,63500,63500,63500,63500,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000001000011,10000000000000,10000000000000,10000100000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
15,501279.17,128493.01800000001,13201,0,105,2019,13201,0,105,八王子,東京都　八王子市美山町５５３番１,13201,248,10000000000000000,_,W2,101,不整形,10,10,2,0,市道,南西,110,_,_,_,_,_,一般住宅、作業所が見られる街道沿いの住宅地域,高尾,7000,_,_,調区,_,_,40,80,False,0000000001111111111111111111111111111,0,0,0,0,0,0,0,0,0,90000,88000,86400,86400,86400,86400,85000,78000,75000,68000,63200,54500,50000,47500,46000,46000,46500,45000,41500,39500,39000,38500,38100,38000,37800,37500,37400,37200,0,0,0,0,0,0,0,0,40000000000000,10100000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000011,10000000000000,10000000000000,10000000000000,10000000000000,10000000000011,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000010000000,10000000000000,20000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
16,501293.729,128469.92300000001,13201,13,1,2019,13201,13,1,八王子,東京都　八王子市美山町９４６番,13201,3285,10000100,雑木林,_,0,不整形,0,0,0,0,道路,東,18,_,未舗装,_,_,_,市街化区域に近接する雑木林の多い地域,高尾,6200,_,_,調区,地森計,_,0,0,False,0000000000000000000000000000000000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,1600,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000
17,501295.23,128616.161,13228,0,18,2019,13228,0,18,あきる野,東京都　あきる野市伊奈字新宿１１３２番５,13228,239,10000000000000000,_,W2,101,_,10,15,2,0,都道,北,220,_,_,側道,西,_,中規模一般住宅のほかに店舗も見られる住宅地域,武蔵増戸,1100,1中専,準防,市街化,_,_,60,200,False,0000000000000000000000000000000000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92500,92500,92500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000
18,501295.25899999996,128848.259,13205,0,27,2019,13205,0,27,青梅,東京都　青梅市裏宿町６７６番３,13205,165,10000000000000000,_,S2,111,_,10,20,2,0,市道,北,40,_,_,_,_,_,一般住宅のほか小規模工場が混在する住宅地域,青梅,950,準工,準防,市街化,_,_,60,150,False,0000000000000000011111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161000,146000,133000,125000,115000,108000,105000,106000,114000,109000,103000,101000,99800,98700,98400,98200,98000,97600,96600,95900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000010,10000000000000,10000000000001,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
19,501303.658,128302.877,13201,0,77,2019,13201,0,77,八王子,東京都　八王子市裏高尾町１１１２番１,13201,466,10000000000000000,_,W2,101,_,10,20,2,0,都道,南,40,_,_,_,_,_,旧街道沿いに一般住宅、農家住宅が見られる地域,高尾,3000,_,_,調区,_,_,40,80,False,0000000011111111111111111111111111111,0,0,0,0,0,0,0,0,120000,120000,114000,110000,104000,104000,103000,100000,92000,75000,68000,64000,57500,53000,50700,49900,50000,51000,49500,46000,45000,43800,43000,42500,42300,42100,42000,42000,42000,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000011,10000000000000,10000000000000,10000000000000,10000000000000,10000000000011,10000000000000,20000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
20,501305.285,128672.564,13305,0,1,2019,13305,0,1,日の出,東京都　西多摩郡日の出町大字大久野字落合１１０番１４,13305,135,10000000000000000,_,W2,101,_,10,15,2,0,町道,東,45,_,_,_,_,_,小規模の一般住宅が建ち並ぶ住宅地域,武蔵増戸,1800,1低専,_,市街化,_,_,40,80,False,0000000000011111111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,190000,187000,185000,182000,178000,157000,136000,120000,110000,97000,88000,82500,80800,80800,81800,78200,72500,71000,70000,69700,69500,69500,69500,69500,69500,69500,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000101000011,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
21,501308.62899999996,128826.554,13205,0,7,2019,13205,0,7,青梅,東京都　青梅市大柳町１４１４番３,13205,193,10000000000000000,_,W2,101,_,10,15,2,0,市道,北,40,_,_,_,_,_,中小規模一般住宅が多い住宅地域,青梅,1100,1住居,準防,市街化,_,_,60,150,False,1111111111111111111111111111111111111,116000,119000,121000,123000,138000,302000,300000,295000,295000,286000,257000,240000,236000,226000,219000,213000,190000,169000,155000,143000,136000,126000,119000,117000,118000,125000,119000,109000,106000,103000,101000,101000,100000,98800,97500,96000,94700,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,11000000000000,10000000000000,10000000000000,10000000000000,10000000000010,10000000000000,10000000000001,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
22,501315.304,123753.76199999999,13363,0,1,2019,13363,0,1,新島,東京都　新島村本村１－３－５,13363,646,10000000000000000,_,B1,101,_,12,10,1,0,村道,南,50,_,_,_,_,_,中規模一般住宅の中に民宿等が見られる住宅地域,新島港,1400,_,_,非線引,_,_,70,200,False,0000000000011111111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,7700,7700,7700,7700,7700,7700,7700,7600,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700,7600,7500,7400,7400,7400,7400,7400,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000011,10000000000000,10000000000000,10000000000000,10000000000000,10000000000001,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
23,501315.7,128639.225,13228,0,13,2019,13228,0,13,あきる野,東京都　あきる野市伊奈字北伊奈前９０３番９,13228,129,10000000000000000,_,W2,101,_,10,10,2,0,市道,南,45,_,_,_,_,_,小規模一般住宅が建ち並ぶ住宅地域,武蔵増戸,400,1低専,_,市街化,_,_,40,80,False,0000000000011111111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,203000,201000,191000,181000,177000,169000,153000,147000,139000,128000,115000,109000,107000,110000,120000,117000,111000,109000,108000,107000,107000,108000,109000,109000,109000,109000,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,21000000000000,10000001000011,11100000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
24,501316.967,128814.87599999999,13205,0,14,2019,13205,0,14,青梅,東京都　青梅市駒木町２丁目２０番１外,13205,161,10000000000000000,_,W2,101,_,10,10,2,0,市道,北,40,_,_,_,_,_,中小規模一般住宅が建ち並ぶ住宅地域,青梅,1900,1住居,準防,市街化,_,_,60,150,False,0000000000000000001111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111000,100000,91000,83000,76500,74500,75000,78000,74500,70000,68000,66500,65400,65300,65200,65000,63500,62700,61900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000010000010,10000000000000,10000000000001,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
25,501317.32,128406.10699999999,13201,0,49,2019,13201,0,49,八王子,東京都　八王子市下恩方町２０９５番６,13201,137,10000000000000000,_,W2,101,_,10,15,2,0,市道,北,30,_,_,_,_,_,一般住宅の中に農家住宅も見られる住宅地域,高尾,4900,1低専,_,市街化,_,_,40,80,False,0000000111111111111111111111111111111,0,0,0,0,0,0,0,180000,180000,174000,160000,156000,156000,156000,156000,156000,140000,124000,109000,93000,79000,70500,66000,63300,64500,67000,64000,59000,57400,57000,56500,56000,56000,55900,55800,55700,55600,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000011,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000010000000,10000000000000
26,501318.407,123758.24,13363,5,1,2019,13363,5,1,新島,東京都　新島村本村１－７－１１,13363,725,11000000000000000,_,RC2,101,_,12,10,2,0,村道,南,60,_,_,側道,西,_,飲食店、小売店舗等が多い村役場に近い商業地域,新島港,1600,_,_,非線引,_,_,70,200,False,0000000000001111111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,9600,9600,9600,9600,9600,9600,9500,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9500,9400,9300,9300,9300,9300,9300,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000011,10000000000000,10000000000000,10000000000000,10000000000000,10000000000001,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10010010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
27,501327.58,128651.54,13305,0,3,2019,13305,0,3,日の出,東京都　西多摩郡日の出町大字平井字東本宿２０２４番７,13305,114,10000000000000000,_,W2,101,_,10,15,2,0,町道,北,65,_,_,_,_,_,一般住宅のほかアパートが見られる住宅地域,武蔵増戸,850,2低専,_,市街化,_,_,50,100,False,0000000000000000000011111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122000,110000,104000,102000,104000,113000,110000,104000,102000,100000,98400,98400,99400,100000,100000,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
28,501329.00200000004,128612.837,13228,0,21,2019,13228,0,21,あきる野,東京都　あきる野市山田字上分９５６番７,13228,132,10000000000000000,_,W2,101,_,10,20,2,0,市道,北,52,_,_,_,_,_,一般住宅の中に空地等が見られる住宅地域,武蔵増戸,840,1低専,_,市街化,_,_,40,80,False,0000000000000000000000000000000001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,90000,90000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000
